presentation_title,nber_wp,published_version,eid,comment
PRODUCT CREATION AND DESTRUCTION: EVIDENCE AND PRICE IMPLICATIONS,13041,PRODUCT CREATION AND DESTRUCTION: EVIDENCE AND PRICE IMPLICATIONS,2-s2.0-77956103491,
PRODUCT MARKET COMPETITION AND CREDIT PROVISION,,DOES COMPETITION ENCOURAGE CREDIT PROVISION? EVIDENCE FROM AFRICAN TRADE CREDIT RELATIONSHIPS,2-s2.0-1842586439,
"PRODUCTIVE CITIES: SORTING, SELECTION AND AGGLOMERATION",,"PRODUCTIVE CITIES: SORTING, SELECTION, AND AGGLOMERATION",2-s2.0-84896364840,
PRODUCTIVITY GROWTH AND THE EXCHANGE RATE REGIME: THE ROLE OF FINANCIAL DEVELOPMENT,12117,EXCHANGE RATE VOLATILITY AND PRODUCTIVITY GROWTH: THE ROLE OF FINANCIAL DEVELOPMENT,2-s2.0-65649107245,
PRODUCTIVITY GROWTH AND THE PHILLIPS CURVE,8421,,,
"PRODUCTIVITY, EMPLOYMENT, AND INVENTORIES: SMOOTHING OVER STICKY PRICES",,"ON THE EMPLOYMENT EFFECTS OF PRODUCTIVITY SHOCKS: THE ROLE OF INVENTORIES, DEMAND ELASTICITY, AND STICKY PRICES",2-s2.0-67349214931,
"PROMISES MADE, PROMISES BROKEN: A MODEL OF IMF PROGRAM IMPLEMENTATION",,"PROMISES MADE, PROMISES BROKEN: A MODEL OF IMF PROGRAM IMPLEMENTATION",2-s2.0-33749528519,
PUBLIC AND PRIVATE ENFORCEMENT OF SECURITIES LAWS: RESOURCE-BASED EVIDENCE,,PUBLIC AND PRIVATE ENFORCEMENT OF SECURITIES LAWS: RESOURCE-BASED EVIDENCE,2-s2.0-67849135038,
PUBLIC INFORMATION AND COORDINATION: EVIDENCE FROM A CREDIT REGISTRY EXPANSION,,PUBLIC INFORMATION AND COORDINATION: EVIDENCE FROM A CREDIT REGISTRY EXPANSION,2-s2.0-79952784993,
RACIAL SEGREGATION AND THE BLACK-WHITE TEST SCORE GAP,12078,RACIAL SEGREGATION AND THE BLACK-WHITE TEST SCORE GAP,2-s2.0-35648966471,
RANGE-BASED ESTIMATION OF STOCHASTIC VOLATILITY MODELS,,RANGE-BASED ESTIMATION OF STOCHASTIC VOLATILITY MODELS,2-s2.0-0011836910,
RARE DISASTERS AND EXCHANGE RATES,13805,RARE DISASTERS AND EXCHANGE RATES,2-s2.0-84960377383,
RE-EXAMINING THE CONTRIBUTIONS OF MONEY AND BANKING SHOCKS TO THE U.S. GREAT DEPRESSION,,RE-EXAMINING THE CONTRIBUTIONS OF MONEY AND BANKING SHOCKS TO THE U. S. GREAT DEPRESSION,2-s2.0-0039973634,
READ ALL ABOUT IT!! WHAT HAPPENS FOLLOWING A TECHNOLOGY SHOCK?,,READ ALL ABOUT IT!! WHAT HAPPENS FOLLOWING A TECHNOLOGY SHOCK?,2-s2.0-79959881927,
REAL AND FINANCIAL INDUSTRY BOOMS AND BUSTS,14290,REAL AND FINANCIAL INDUSTRY BOOMS AND BUSTS,2-s2.0-74249118836,
REAL EFFECTS OF INFLATION THROUGH THE REDISTRIBUTION OF WEALTH: A REASSESSMENT,,AGGREGATE IMPLICATIONS OF WEALTH REDISTRIBUTION: THE CASE OF INFLATION,2-s2.0-33846554222,
REAL EXCHANGE RATE FLUCTUATIONS AND ENDOGENOUS TRADABILITY,,"REAL EXCHANGE RATE FLUCTUATIONS, ENDOGENOUS TRADABILITY AND EXCHANGE RATE REGIMES",2-s2.0-43049174805,
REAL EXCHANGE RATE FLUCTUATIONS AND THE DYNAMICS OF RETAIL TRADE INDUSTRIES ON THE U.S.-CANADA BORDER,8558,REAL EXCHANGE RATE FLUCTUATIONS AND THE DYNAMICS OF RETAIL TRADE INDUSTRIES ON THE U.S.-CANADA BORDER,2-s2.0-33750912856,
REAL OPTIONS AND THE TIMING OF NEW INVESTMENT: EVIDENCE FROM REAL ESTATE DEVELOPMENT,,"IRREVERSIBLE INVESTMENT, REAL OPTIONS, AND COMPETITION: EVIDENCE FROM REAL ESTATE DEVELOPMENT",2-s2.0-63149100902,
REAL RIGIDITIES AND NOMINAL PRICE CHANGES,,REAL RIGIDITIES AND NOMINAL PRICE CHANGES,2-s2.0-84963900799,
REAL WAGE RIGIDITIES AND THE NEW KEYNESIAN MODEL,11806,REAL WAGE RIGIDITIES AND THE NEW KEYNESIAN MODEL,2-s2.0-33847323444,
REAL-TIME INFLATION FORECASTING IN A CHANGING WORLD,,REAL-TIME INFLATION FORECASTING IN A CHANGING WORLD,2-s2.0-84876073944,
REALIZED VOLATILITY FORECASTING AND MARKET MICROSTRUCTURE NOISE,,REALIZED VOLATILITY FORECASTING AND MARKET MICROSTRUCTURE NOISE,2-s2.0-78649721522,
REALLY UNCERTAIN BUSINESS CYCLES,18245,,,
RECENT TRENDS IN CHINA'S AGRICULTURAL PRODUCTIVITY GROWTH AT PROVINCE LEVEL: 1985-2007,,CHINA'S REGIONAL AGRICULTURAL PRODUCTIVITY GROWTH IN 1985-2007: A MULTILATERAL COMPARISON,2-s2.0-84874556288,
RECURSIVE PREDICTABILITY TESTS FOR REAL-TIME DATA,,RECURSIVE PREDICTABILITY TESTS FOR REAL-TIME DATA,2-s2.0-22544468843,
REFERENCE PRICES AND NOMINAL RIGIDITIES,13829,"REFERENCE PRICES, COSTS, AND NOMINAL RIGIDITIES",2-s2.0-79952138323,
REGULATING EXCLUSION FROM FINANCIAL MARKETS,,REGULATING EXCLUSION FROM FINANCIAL MARKETS,2-s2.0-3843051497,
REGULATION AND INVESTMENT,9560,REGULATION AND INVESTMENT,2-s2.0-33746589105,
REGULATORY PRESSURE AND FIRE SALES IN THE CORPORATE BOND MARKET,,REGULATORY PRESSURE AND FIRE SALES IN THE CORPORATE BOND MARKET,2-s2.0-79960419905,
RENEGOTIATION DESIGN: EVIDENCE FROM NFL ROSTER BONUSES,,RENEGOTIATION DESIGN: EVIDENCE FROM NATIONAL FOOTBALL LEAGUE ROSTER BONUSES,2-s2.0-84925186048,
REPUTATION AND COMPETITION: EVIDENCE FROM THE CREDIT RATING INDUSTRY,16404,HOW DID INCREASED COMPETITION AFFECT CREDIT RATINGS?,2-s2.0-79959490883,
"RESPONSES TO THE FINANCIAL CRISIS, TREASURY DEBT, AND THE IMPACT ON SHORT-TERM MONEY MARKETS",,"RESPONSES TO THE FINANCIAL CRISIS, TREASURY DEBT, AND THE IMPACT ON SHORT-TERM MONEY MARKETS",2-s2.0-84921724454,
REWARDING CALCULATED RISK-TAKING: EVIDENCE FROM A SERIES OF EXPERIMENTS WITH COMMERCIAL BANK LOAN OFFICERS,19472,INCENTIVIZING CALCULATED RISK-TAKING: EVIDENCE FROM AN EXPERIMENT WITH COMMERCIAL BANK LOAN OFFICERS,2-s2.0-84924502923,
RISK AND WEALTH IN A MODEL OF SELF-FULFILLING CURRENCY ATTACKS,,RISK AND WEALTH IN A MODEL OF SELF-FULFILLING CURRENCY ATTACKS,2-s2.0-36048976304,
RISK SHIFTING VERSUS RISK MANAGEMENT: INVESTMENT POLICY IN CORPORATE PENSION PLANS,13240,RISK SHIFTING VERSUS RISK MANAGEMENT: INVESTMENT POLICY IN CORPORATE PENSION PLANS,2-s2.0-84874710142,
RISK SPILLOVERS OF FINANCIAL INSTITUTIONS,17454,COVAR,2-s2.0-84978880727,
RISK TAKING BY ENTREPRENEURS,,RISK TAKING BY ENTREPRENEURS,2-s2.0-74949108763,
RISK TOPOGRAPHY,,RISK TOPOGRAPHY,2-s2.0-84865595076,
"RISK-SHARING OR RISK-TAKING? FINANCIAL INNOVATION, MARGIN REQUIREMENTS AND INCENTIVES",,"RISK-SHARING OR RISK-TAKING? COUNTERPARTY RISK, INCENTIVES, AND MARGINS",2-s2.0-84978388421,
RISKS FOR THE LONG RUN A POTENTIAL RESOLUTION OF ASSET PRICING PUZZLES,8059,RISKS FOR THE LONG RUN: A POTENTIAL RESOLUTION OF ASSET PRICING PUZZLES,2-s2.0-4344674622,
RISKS FOR THE LONG RUN A RESOLUTION OF ASSET PRICING PUZZLES,8059,RISKS FOR THE LONG RUN: A POTENTIAL RESOLUTION OF ASSET PRICING PUZZLES,2-s2.0-4344674622,
ROBUST MONETARY POLICY WITH COMPETING REFERENCE MODELS,,ROBUST MONETARY POLICY WITH COMPETING REFERENCE MODELS,2-s2.0-0042074501,
ROBUST MONETARY POLICY WITH IMPERFECT KNOWLEDGE,,ROBUST MONETARY POLICY WITH IMPERFECT KNOWLEDGE,2-s2.0-34547651289,
ROBUSTLY OPTIMAL MONETARY POLICY IN A MICROFOUNDED MODEL,,ROBUSTLY OPTIMAL MONETARY POLICY IN A MICROFOUNDED NEW KEYNESIAN MODEL,2-s2.0-84865180740,
ROBUSTLY OPTIMAL MONETARY POLICY UNDER NEAR-RATIONAL EXPECTATIONS,,ROBUSTLY OPTIMAL MONETARY POLICY WITH NEAR-RATIONAL EXPECTATIONS,2-s2.0-77952354399,
ROLL-UPS: PERFORMANCE AND INCENTIVES FOR INDUSTRY-CONSOLIDATING IPOS,,"CORPORATE GOVERNANCE, INCENTIVES, AND INDUSTRY CONSOLIDATIONS",2-s2.0-12344322936,
ROLLOVER RISK AND MARKET FREEZES,15674,ROLLOVER RISK AND MARKET FREEZES,2-s2.0-79960544991,
RULE-OF-THUMB CONSUMERS AND THE DESIGN OF INTEREST RATE RULES,10392,RULE-OF-THUMB CONSUMERS AND THE DESIGN OF INTEREST RATE RULES,2-s2.0-4544328441,
"SCHOOLS AND LOCATION: TIEBOUT, ALONSO, AND GOVERNMENTAL POLICY CAN MONEY BUY A BETTER EDUCATION?",,"SCHOOLS AND LOCATION: TIEBOUT, ALONSO, AND GOVERNMENTAL FINANCE POLICY",2-s2.0-84885475420,
"SEARCH, MONEY AND CAPITAL",,"SEARCH, MONEY, AND CAPITAL: A NEOCLASSICAL DICHOTOMY",2-s2.0-3142725770,
SECOND CHANCES: SUBPRIME MORTGAGE MODIFICATION AND RE-DEFAULT,,SECOND CHANCES: SUBPRIME MORTGAGE MODIFICATION AND REDEFAULT,2-s2.0-84968648375,
SECTORAL PRICE DATA AND MODELS OF PRICE SETTING,,SECTORAL PRICE DATA AND MODELS OF PRICE SETTING,2-s2.0-70149083897,
SECURITIZATION AND DISTRESSED LOAN RENEGOTIATION: EVIDENCE FROM THE SUBPRIME MORTGAGE CRISIS,,SECURITIZATION AND DISTRESSED LOAN RENEGOTIATION: EVIDENCE FROM THE SUBPRIME MORTGAGE CRISIS,2-s2.0-77953808357,
SECURITIZATION AND LOAN PERFORMANCE: A CONTRAST OF EX ANTE AND EX POST RELATIONS IN THE MORTGAGE MARKET,,SECURITIZATION AND LOAN PERFORMANCE: EX ANTE AND EX POST RELATIONS IN THE MORTGAGE MARKET,2-s2.0-84892688684,
"SECURITIZATION, TRANSPARENCY AND LIQUIDITY",,"SECURITIZATION, TRANSPARENCY, AND LIQUIDITY",2-s2.0-84864493209,
SECURTIZATION AND DISTRESSED LOAN RENEGOTIATION:EVIDENCE FROM THE SUBPRIME MORTGAGE CRISIS,,SECURITIZATION AND DISTRESSED LOAN RENEGOTIATION: EVIDENCE FROM THE SUBPRIME MORTGAGE CRISIS,2-s2.0-77953808357,
SEPARATE WHEN EQUAL? RACIAL INEQUALITY AND RESIDENTIAL SEGREGATION,11507,SEPARATE WHEN EQUAL? RACIAL INEQUALITY AND RESIDENTIAL SEGREGATION,2-s2.0-84904132890,
SHOCKS AND INSTITUTIONS IN A JOB MATCHING MODEL,8463,,,
SIMPLE FORECASTS AND PARADIGM SHIFTS,10013,SIMPLE FORECASTS AND PARADIGM SHIFTS,2-s2.0-34248138058,
SIMULATING THE TRANSMISSION OF WEALTH INEQUALITY VIA BEQUESTS,,SIMULATING THE TRANSMISSION OF WEALTH INEQUALITY VIA BEQUESTS,2-s2.0-0035218476,
SIZING UP REPO,17768,SIZING UP REPO,2-s2.0-84908593193,
SKILLS IN THE CITY,,SKILLS IN THE CITY,2-s2.0-58749095990,
SLICING UP GLOBAL VALUE CHAINS: THE ROLE OF CHINA,,SLICING UP GLOBAL VALUE CHAINS,2-s2.0-84903120036,
SLOW PASSTHROUGH AROUND THE WORLD: A NEW IMPORT FOR DEVELOPING COUNTRIES?,11199,SLOW PASS-THROUGH AROUND THE WORLD: A NEW IMPORT FOR DEVELOPING COUNTRIES?,2-s2.0-84858796084,
SMOOTHLY MIXING REGRESSIONS,,SMOOTHLY MIXING REGRESSIONS,2-s2.0-33947366371,
SNOW AND LEVERAGE,16497,SNOW AND LEVERAGE,2-s2.0-84857584421,
SOME EVIDENCE ON THE IMPORTANCE OF STICKY PRICES,9069,SOME EVIDENCE ON THE IMPORTANCE OF STICKY PRICES,2-s2.0-4544260608,
SOME EVIDENCE ON THE IMPORTANCE OF STICKY WAGES,16130,SOME EVIDENCE ON THE IMPORTANCE OF STICKY WAGES,2-s2.0-84894073849,
"SOME LIKE IT SMOOTH, AND SOME LIKE IT ROUGH:DISENNTANGLING CONTINUOUS AND JUMP COMPONENTS IN MEASURING, MODELING, AND FORECASTING ASSET RETURN VOLATILITY",,"ROUGHING IT UP: INCLUDING JUMP COMPONENTS IN THE MEASUREMENT, MODELING, AND FORECASTING OF RETURN VOLATILITY",2-s2.0-36448949838,
SOPHISTICATED MONETARY POLICIES,14883,SOPHISTICATED MONETARY POLICIES,2-s2.0-76049096299,
SOURCES OF ENTROPY IN REPRESENTATIVE AGENT MODELS,17219,SOURCES OF ENTROPY IN REPRESENTATIVE AGENT MODELS,2-s2.0-84891801758,
SOVEREIGN RISK AND SECONDARY MARKETS,12783,SOVEREIGN RISK AND SECONDARY MARKETS,2-s2.0-77956965441,
"SOVEREIGN RISK, ANONYMOUS MARKETS, AND THE EFFECTS OF GLOBALIZATION",12482,GLOBALIZATION AND RISK SHARING,2-s2.0-79953318413,
SOVEREIGN WEALTH FUNDS: INVESTMENT CHOICES AND IMPLICATIONS AROUND THE WORLD,,SOVEREIGN WEALTH FUNDS: INVESTMENT CHOICES AND IMPLICATIONS AROUND THE WORLD,,In Chapter
SPATIAL ASSET PRICING: A FIRST STEP,,SPATIAL ASSET PRICING: A FIRST STEP,2-s2.0-84954475944,
SPECTRAL GMM ESTIMATION OF CONTINUOUS-TIME PROCESSES,,SPECTRAL GMM ESTIMATION OF CONTINUOUS-TIME PROCESSES,2-s2.0-0242473436,
SPECULATIVE TRADING AND STOCK PRICES: EVIDENCE FROM CHINESE A-B SHARE PREMIA,11362,SPECULATIVE TRADING AND STOCK PRICES: EVIDENCE FROM CHINESE A-B SHARE PREMIA,2-s2.0-70450195011,
SPURIOUS REGRESSIONS IN FINANCIAL ECONOMICS,9143,SPURIOUS REGRESSIONS IN FINANCIAL ECONOMICS?,2-s2.0-0013049292,
STAGES OF DIVERSIFICATION,,STAGES OF DIVERSIFICATION,2-s2.0-1342308880,
STATE MISALLOCATION AND HOUSING PRICES: THEORY AND EVIDENCE FROM CHINA,,STATE MISALLOCATION AND HOUSING PRICES: THEORY AND EVIDENCE FROM CHINA,2-s2.0-84860404911,
STATE-DEPENDENT OR TIME-DEPENDENT PRICING: DOES IT MATTER FOR RECENT U.S. INFLATION?,11043,STATE-DEPENDENT OR TIME-DEPENDENT PRICING: DOES IT MATTER FOR RECENT U.S. INFLATION?,2-s2.0-49449113956,
STATIONARITY TESTING WITH COVARIATES,,STATIONARITY TESTING WITH COVARIATES,2-s2.0-0742288825,
STICKY BORDERS,12095,STICKY BORDERS,2-s2.0-42149141729,
STICKY INFORMATION AND STICKY PRICES,,STICKY INFORMATION AND STICKY PRICES,2-s2.0-34547777356,
STICKY INFORMATION VERSUS STICKY PRICES: A PROPOSAL TO REPLACE THE NEW KEYNESIAN PHILLIPS CURVE,8290,STICKY INFORMATION VERSUS STICKY PRICES: A PROPOSAL TO REPLACE THE NEW KEYNESIAN PHILLIPS CURVE,2-s2.0-0036867964,
STICKY PRICES AND MONETARY POLICY: EVIDENCE FROM DISAGGREGATED U.S. DATA,12824,STICKY PRICES AND MONETARY POLICY: EVIDENCE FROM DISAGGREGATED US DATA,2-s2.0-70149119009,
STIGMA IN FINANCIAL MARKETS: EVIDENCE FROM LIQUIDITY AUCTIONS AND DISCOUNT WINDOW BORROWING DURING THE CRISIS,,DISCOUNT WINDOW STIGMA DURING THE 2007-2008 FINANCIAL CRISIS,2-s2.0-84946473915,
STOCK AND BOND RETURNS WITH MOODY INVESTORS,12247,STOCK AND BOND RETURNS WITH MOODY INVESTORS,2-s2.0-78049239393,
STOCK MARKET LIBERALIZATIONS AND THE REPRICING OF SYSTEMATIC RISK,8265,RISK SHARING AND ASSET PRICES: EVIDENCE FROM A NATURAL EXPERIMENT,2-s2.0-2942715122,
"STOCK MARKET WEALTH, HOUSING MARKET WEALTH, SPENDING AND CONSUMPTION",8606,COMPARING WEALTH EFFECTS: THE STOCK MARKET VERSUS THE HOUSING MARKET,2-s2.0-21244446232,
STOCK OPTIONS FOR UNDIVERSIFIED EXECUTIVES*,8052,STOCK OPTIONS FOR UNDIVERSIFIED EXECUTIVES,2-s2.0-0036186952,
STOCK PRICES AND FUNDAMENTAL VALUE: WHAT DRIVES THE INVESTMENT AND CAPITAL STRUCTURE OF REAL ESTATE INVESTMENT TRUSTS?,8486,DIVIDEND TAXES AND SHARE PRICES: EVIDENCE FROM REAL ESTATE INVESTMENT TRUSTS,2-s2.0-0142188063,
STOCK-BASED COMPENSATION AND CEO (DIS)INCENTIVES,13732,STOCK-BASED COMPENSATION AND CEO (DIS)INCENTIVES,2-s2.0-78649842331,
STRUCTURING AND RESTRUCTURING SOVEREIGN DEBT: THE ROLE OF SENIORITY,11071,STRUCTURING AND RESTRUCTURING SOVEREIGN DEBT: THE ROLE OF SENIORITY,2-s2.0-67549134399,
SUPERSTAR CEO'S,14140,SUPERSTAR CEOS,2-s2.0-72449148163,
SUPERSTAR CITIES,12355,SUPERSTAR CITIES,2-s2.0-84887901473,
SURPRISING COMPARATIVE PROPERTIES OF MONETARY MODELS: RESULTS FROM A NEW DATA BASE,14849,SURPRISING COMPARATIVE PROPERTIES OF MONETARY MODELS: RESULTS FROM A NEW MODEL DATABASE,2-s2.0-84870751642,
SURVEY INSTRUMENTS AND THE REPORTS OF CONSUMPTION EXPENDITURES: EVIDENCE FROM THE CONSUMER EXPENDITURE SURVEYS,,SURVEY INSTRUMENTS AND THE REPORTS OF CONSUMPTION EXPENDITURES: EVIDENCE FROM THE CONSUMER EXPENDITURE SURVEYS,2-s2.0-84955210926,
SURVEY MEASURES OF EXPECTED INFLATION AND THE INFLATION PROCESS,,SURVEY MEASURES OF EXPECTED INFLATION AND THE INFLATION PROCESS,2-s2.0-84921532744,
SYSTEMIC SOVEREIGN CREDIT RISK: LESSONS FROM THE U.S. AND EUROPE,16982,SYSTEMIC SOVEREIGN CREDIT RISK: LESSONS FROM THE U.S. AND EUROPE,2-s2.0-84881111988,
T-STATISTIC BASED CORRELATION AND HETEROGENEITY ROBUST INFERENCE,,T-STATISTIC BASED CORRELATION AND HETEROGENEITY ROBUST INFERENCE,2-s2.0-77955155426,
TAKEOVER ACTIVITY AND TARGET VALUATIONS: FEEDBACK LOOPS IN FINANCIAL MARKETS,,THE REAL EFFECTS OF FINANCIAL MARKETS: THE IMPACT OF PRICES ON TAKEOVERS,2-s2.0-84861303824,
TAKEOVER BIDS VS. PROXY FIGHTS IN CONTESTS FOR CORPORATE CONTROL,8633,,,
TAKEOVERS AND THE CROSS-SECTION OF RETURNS,,TAKEOVERS AND THE CROSS-SECTION OF RETURNS,2-s2.0-65349128142,
TAKING A NEW CONTOUR: A NOVEL APPROACH TO PANEL UNIT ROOT TESTS,,TAKING A NEW CONTOUR: A NOVEL APPROACH TO PANEL UNIT ROOT TESTS,2-s2.0-84862808760,
"TARGET PRICES, RELATIVE VALUATIONS AND THE COMPENSATION FOR LIQUIDITY PROVISION",,RELATIVE VALUATION AND ANALYST TARGET PRICE FORECASTS,2-s2.0-78049449792,
TAX RIOTS,,TAX RIOTS,2-s2.0-45449117363,
TAX SHELTERS AND CORPORATE DEBT POLICY,,TAX SHELTERS AND CORPORATE DEBT POLICY,2-s2.0-33746211727,
TAYLOR RULES AND THE EURO,,TAYLOR RULES AND THE EURO,2-s2.0-79953022082,
TECHNOLOGICAL GROWTH AND ASSET PRICING,15340,TECHNOLOGICAL GROWTH AND ASSET PRICING,2-s2.0-84864028223,
TESTING CONDITIONAL FACTOR MODELS,17561,TESTING CONDITIONAL FACTOR MODELS,2-s2.0-84865041801,
TESTING FACTOR-MODEL EXPLANATIONS OF MARKET ANOMALIES,,TESTING FACTOR-MODEL EXPLANATIONS OF MARKET ANOMALIES,,CFR
TESTING FOR INDETERMINACY: AN APPLICATION TO U.S. MONETARY POLICY,,TESTING FOR INDETERMINACY: AN APPLICATION TO U.S. MONETARY POLICY,2-s2.0-2442527511,
TESTS OF EQUAL PREDICTIVE ABILITY WITH REAL-TIME DATA,,TESTS OF EQUAL PREDICTIVE ABILITY WITH REAL-TIME DATA,2-s2.0-70349897690,
"THE 2005 ICP BENCHMARK, PWT AND SOME HEALTH WARNINGS",14499,UNDERSTANDING PPPS AND PPP-BASED NATIONAL ACCOUNTS,2-s2.0-85017117727,
THE ADJUSTMENT OF PRICES AND THE ADJUSTMENT OF THE EXCHANGE RATE,8550,,,
THE AFFINE ARBITRAGE-FREE CLASS OF NELSON-SIEGEL TERM STRUCTURE MODELS,,THE AFFINE ARBITRAGE-FREE CLASS OF NELSON-SIEGEL TERM STRUCTURE MODELS,2-s2.0-79960381392,
THE ASSET PRICING-MACRO NEXUS AND RETURN-CASH FLOW PREDICTABILITY,,THE ASSET PRICING-MACRO NEXUS AND RETURN-CASH FLOW PREDICTABILITY,,SED
THE BOND PREMIUM IN A DSGE MODEL WITH LONG-RUN REAL AND NOMINAL RISKS,,THE BOND PREMIUM IN A DSGE MODEL WITH LONG-RUN REAL AND NOMINAL RISKS,2-s2.0-84857174901,
THE BOND/OLD-BOND SPREAD,,THE BOND/OLD-BOND SPREAD,2-s2.0-0005106181,
THE BURDEN OF THE NONDIVERSIFIABLE RISK OF ENTREPRENEURSHIP,14219,THE BURDEN OF THE NONDIVERSIFIABLE RISK OF ENTREPRENEURSHIP,2-s2.0-77956126732,
THE CASE FOR OPEN-MARKET PURCHASES IN A LIQUIDITY TRAP,9814,THE CASE FOR OPEN-MARKET PURCHASES IN A LIQUIDITY TRAP,2-s2.0-20444367717,
THE COMPETITIVE SAVING MOTIVE: EVIDENCE FROM RISING SEX RATIOS AND SAVINGS RATES IN CHINA,15093,THE COMPETITIVE SAVING MOTIVE: EVIDENCE FROM RISING SEX RATIOS AND SAVINGS RATES IN CHINA,2-s2.0-79960676961,
THE CONDITIONAL CAPM DOES NOT EXPLAIN ASSET-PRICING ANOMALIES,,THE CONDITIONAL CAPM DOES NOT EXPLAIN ASSET-PRICING ANOMALIES,2-s2.0-33749134848,
THE CONQUEST OF SOUTH AMERICAN INFLATION,12606,THE CONQUEST OF SOUTH AMERICAN INFLATION,2-s2.0-65949107320,
THE CONSEQUENCES OF MORTGAGE CREDIT EXPANSION: EVIDENCE FROM THE 2007 MORTGAGE DEFAULT CRISIS,13936,THE CONSEQUENCES OF MORTGAGE CREDIT EXPANSION: EVIDENCE FROM THE U.S. MORTGAGE DEFAULT CRISIS,2-s2.0-72449151676,
THE COST OF DEBT,16023,THE COST OF DEBT,2-s2.0-78249249974,
THE COSTS OF BANKRUPTCY: CHAPTER 7 CASH AUCTIONS VS. CHAPTER 11 BARGAINING,,THE COSTS OF BANKRUPTCY: CHAPTER 7 LIQUIDATION VERSUS CHAPTER 11 REORGANIZATION,2-s2.0-33745700751,
THE COSTS OF FREE ENTRY: AN EMPIRICAL STUDY OF REAL ESTATE AGENTS IN GREATER BOSTON,17227,THE COSTS OF FREE ENTRY: AN EMPIRICAL STUDY OF REAL ESTATE AGENTS IN GREATER BOSTON,2-s2.0-84922547363,
THE CREDIT CYCLE AND THE BUSINESS CYCLE: NEW FINDINGS USING THE SURVEY OF SENIOR LOAN OFFICERS,,THE CREDIT CYCLE AND THE BUSINESS CYCLE: NEW FINDINGS USING THE LOAN OFFICER OPINION SURVEY,2-s2.0-33748564307,
THE CYCLICAL BEHAVIOR OF THE PRICE-COST MARKUP,19099,,,
"THE DECISION TO PRIVATIZE: FINANCE, POLITICS, AND PATRONAGE",,THE DECISION TO PRIVATIZE: FINANCE AND POLITICS,2-s2.0-78650984864,
THE DECOMPOSITION OF A HOUSE PRICE INDEX INTO LAND AND STRUCTURES COMPONENTS: A HEDONIC REGRESSION APPROACH,,HEDONIC REGRESSIONS AND THE DECOMPOSITION OF A HOUSE PRICE INDEX INTO LAND AND STRUCTURE COMPONENTS,2-s2.0-84908053095,
"THE DEMAND FOR LIQUID ASSETS, CORPORATE SAVING, AND GLOBAL IMBALANCES",,"THE DEMAND FOR LIQUID ASSETS, CORPORATE SAVING, AND INTERNATIONAL CAPITAL FLOWS",2-s2.0-84958754917,
THE DISTRIBUTION OF GAINS FROM ACCESS TO STOCKS,,HAS GREATER STOCK MARKET PARTICIPATION INCREASED WEALTH INEQUALITY IN THE US?,2-s2.0-84953896901,
THE DYNAMICS OF INVESTMENT UNDER UNCERTAINTY,12383,UNCERTAINTY AND INVESTMENT DYNAMICS,2-s2.0-33947709325,
THE ECONOMIC AFTERMATH OF THE 1960S RIOTS: EVIDENCE FROM PROPERTY VALUES,10493,THE ECONOMIC AFTERMATH OF THE 1960S RIOTS IN AMERICAN CITIES: EVIDENCE FROM PROPERTY VALUES,2-s2.0-37449020876,
THE ECONOMIC IMPACT OF SOCIAL TIES: EVIDENCE FROM GERMAN REUNIFICATION,17186,THE ECONOMIC IMPACT OF SOCIAL TIES: EVIDENCE FROM GERMAN REUNIFICATION,2-s2.0-84880264269,
THE ECONOMICS OF PRIVATE EQUITY FUNDS,,THE ECONOMICS OF PRIVATE EQUITY FUNDS,2-s2.0-77952537550,
THE EFFECT OF HOUSE PRICES ON HOMEOWNER BORROWING AND THE U.S. HOUSEHOLD LEVERAGE CRISIS,15283,"HOUSE PRICES, HOME EQUITY-BASED BORROWING, AND THE US HOUSEHOLD LEVERAGE CRISIS",2-s2.0-84860388805,
THE EFFECT OF HOUSING ON PORTFOLIO CHOICE,15998,THE EFFECT OF HOUSING ON PORTFOLIO CHOICE,2-s2.0-85018658341,
THE EFFECTS OF A BABY BOOM ON STOCK PRICES AND CAPITAL ACCUMULATION IN THE PRESENCE OF SOCIAL SECURITY,9210,THE EFFECTS OF A BABY BOOM ON STOCK PRICES AND CAPITAL ACCUMULATION IN THE PRESENCE OF SOCIAL SECURITY,2-s2.0-0037238508,
THE EFFECTS OF POLICY SHOCKS IN A MONETARY BUSINESS CYCLE MODEL WITH UNEMPLOYMENT,,A MONETARY BUSINESS CYCLE MODEL WITH UNEMPLOYMENT,2-s2.0-34548855698,
THE EFFECTS OF QUANTITATIVE EASING ON INTEREST RATES,17555,THE EFFECTS OF QUANTITATIVE EASING ON INTEREST RATES: CHANNELS AND IMPLICATIONS FOR POLICY,2-s2.0-84861538250,
THE EURO IS GOOD AFTER ALL: CORPORATE EVIDENCE,,THE EURO AND CORPORATE VALUATIONS,2-s2.0-68349131534,
THE EXCESS SENSITIVITY OF LONG-TERM INTEREST RATES: EVIDENCE AND IMPLICATIONS FOR MACROECONOMIC MODELS,,THE SENSITIVITY OF LONG-TERM INTEREST RATES TO ECONOMIC NEWS: EVIDENCE AND IMPLICATIONS FOR MACROECONOMIC MODELS,2-s2.0-20444380401,
